date,gender,cases
2020-01-01,female,3
2020-01-01,male,1
2020-01-02,female,0
2020-01-02,male,0
2020-01-03,female,0
2020-01-03,male,0
2020-01-04,female,1
2020-01-04,male,0
2020-01-05,female,0
2020-01-05,male,0
2020-01-06,female,0
2020-01-06,male,1
2020-01-07,female,0
2020-01-07,male,0
2020-01-08,female,0
2020-01-08,male,0
2020-01-09,female,0
2020-01-09,male,0
2020-01-10,female,0
2020-01-10,male,0
2020-01-11,female,0
2020-01-11,male,0
2020-01-12,female,0
2020-01-12,male,0
2020-01-13,female,0
2020-01-13,male,0
2020-01-14,female,0
2020-01-14,male,0
2020-01-15,female,0
2020-01-15,male,0
2020-01-16,female,1
2020-01-16,male,0
2020-01-17,female,0
2020-01-17,male,0
2020-01-18,female,0
2020-01-18,male,0
2020-01-19,female,0
2020-01-19,male,0
2020-01-20,female,1
2020-01-20,male,1
2020-01-21,female,0
2020-01-21,male,0
2020-01-22,female,1
2020-01-22,male,0
2020-01-23,female,0
2020-01-23,male,0
2020-01-24,female,0
2020-01-24,male,1
2020-01-25,female,0
2020-01-25,male,1
2020-01-26,female,0
2020-01-26,male,2
2020-01-27,female,1
2020-01-27,male,2
2020-01-28,female,0
2020-01-28,male,0
2020-01-29,female,0
2020-01-29,male,1
2020-01-30,female,0
2020-01-30,male,0
2020-01-31,female,1
2020-01-31,male,2
2020-02-01,female,3
2020-02-01,male,0
2020-02-02,female,0
2020-02-02,male,0
2020-02-03,female,1
2020-02-03,male,1
2020-02-04,female,0
2020-02-04,male,0
2020-02-05,female,0
2020-02-05,male,0
2020-02-06,female,1
2020-02-06,male,1
2020-02-07,female,1
2020-02-07,male,1
2020-02-08,female,0
2020-02-08,male,0
2020-02-09,female,0
2020-02-09,male,0
2020-02-10,female,0
2020-02-10,male,5
2020-02-11,female,1
2020-02-11,male,0
2020-02-12,female,2
2020-02-12,male,0
2020-02-13,female,1
2020-02-13,male,0
2020-02-14,female,1
2020-02-14,male,3
2020-02-15,female,1
2020-02-15,male,1
2020-02-16,female,2
2020-02-16,male,1
2020-02-17,female,2
2020-02-17,male,1
2020-02-18,female,1
2020-02-18,male,0
2020-02-19,female,2
2020-02-19,male,3
2020-02-20,female,7
